id,gmt_offset_seconds,uses_dst,dst seconds,start month,start week,start day,start hour,end month,end week,end day,end hour,dst end seconds
Africa/Algiers,3600,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Africa/Cairo,7200,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Africa/Casablanca,0,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Africa/Harare,7200,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Africa/Johannesburg,7200,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Africa/Monrovia,0,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Africa/Nairobi,10800,FALSE,3600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
America/Adak,-36000,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Anchorage,-32400,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Argentina/Buenos_Aires,-10800,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Bogota,-18000,FALSE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Boise,-25200,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Caracas,-16200,FALSE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Chicago,-21600,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Chihuahua,-25200,TRUE,3600,4,1,Sunday,2,10,5,Sunday,2,0
America/Dawson_Creek,-25200,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
America/Denver,-25200,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Detroit,-18000,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Edmonton,-25200,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Fort_Nelson,-25200,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
America/Glace_Bay,-14400,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
America/Godthab,-10800,TRUE,3600,3,5,Saturday,22,10,5,Saturday,23,0
America/Goose_Bay,-14400,TRUE,3600,3,2,Sunday,2,11,1,Sunday,2,0
